"num.trees","mtry","min.node.size","replace","sample.fraction","train_rmse","valid_rmse"
100,0,1,TRUE,0.5,267.130176051869,269.646057828613
80,0,1,TRUE,0.5,264.530584018646,267.3258136034
500,0,1,TRUE,0.5,262.785733048673,267.497363819119
100,1,1,TRUE,0.5,379.699299955697,383.977824579189
80,1,1,TRUE,0.5,383.665464908769,388.869589572448
500,1,1,TRUE,0.5,376.996370315341,382.160873857182
100,2,1,TRUE,0.5,263.204337732565,267.655493866107
80,2,1,TRUE,0.5,262.781485450311,264.927212512447
500,2,1,TRUE,0.5,263.251316798501,266.880606329982
100,2,1,TRUE,0.5,267.349543221731,271.541051115736
80,2,1,TRUE,0.5,264.981512040537,269.584221607069
500,2,1,TRUE,0.5,263.240108791636,267.457506574027
100,3,1,TRUE,0.5,243.546555751113,248.786184044278
80,3,1,TRUE,0.5,245.469058592476,248.067722376101
500,3,1,TRUE,0.5,242.327388190925,246.684048520734
100,0,3,TRUE,0.5,261.565207698684,265.921246339823
80,0,3,TRUE,0.5,262.831972754054,264.632846270974
500,0,3,TRUE,0.5,262.893901302729,266.861710713599
100,1,3,TRUE,0.5,381.826592534432,386.044804276423
80,1,3,TRUE,0.5,373.226465779112,378.723204061041
500,1,3,TRUE,0.5,378.93350915098,383.923361591981
100,2,3,TRUE,0.5,264.659752951532,268.311843337012
80,2,3,TRUE,0.5,262.661230008092,266.633089493561
500,2,3,TRUE,0.5,261.375683626232,265.930144513876
100,2,3,TRUE,0.5,264.194542085248,267.27953631474
80,2,3,TRUE,0.5,266.972674581847,268.808945281236
500,2,3,TRUE,0.5,265.635505583426,269.903466689016
100,3,3,TRUE,0.5,245.076543367562,247.248481645064
80,3,3,TRUE,0.5,245.666963375249,248.298756900619
500,3,3,TRUE,0.5,242.502717208768,247.202281942682
100,0,5,TRUE,0.5,269.642403785122,272.391207076471
80,0,5,TRUE,0.5,267.769126663927,271.868569108365
500,0,5,TRUE,0.5,264.080342570666,268.311081384991
100,1,5,TRUE,0.5,375.677379601938,380.031951602777
80,1,5,TRUE,0.5,387.334058180727,391.443096302471
500,1,5,TRUE,0.5,372.247705803343,377.219819392954
100,2,5,TRUE,0.5,263.486012183405,267.746761253742
80,2,5,TRUE,0.5,266.142106698544,267.733797424854
500,2,5,TRUE,0.5,262.6087563138,267.946673857192
100,2,5,TRUE,0.5,265.188179809017,269.214040064552
80,2,5,TRUE,0.5,269.046675062013,271.001372570287
500,2,5,TRUE,0.5,263.886181862176,268.453676179743
100,3,5,TRUE,0.5,245.390077204123,246.860768403097
80,3,5,TRUE,0.5,245.462835405949,249.059982059136
500,3,5,TRUE,0.5,242.605416126298,246.877733364712
100,0,10,TRUE,0.5,266.882325096987,272.544770493292
80,0,10,TRUE,0.5,270.428264438647,273.973370285908
500,0,10,TRUE,0.5,266.080059450351,270.917814488763
100,1,10,TRUE,0.5,377.731301146307,381.217638615256
80,1,10,TRUE,0.5,382.494563066504,385.186687755314
500,1,10,TRUE,0.5,378.318800980805,384.063678419047
100,2,10,TRUE,0.5,263.959637986521,267.612450135268
80,2,10,TRUE,0.5,266.911072171046,269.87817171232
500,2,10,TRUE,0.5,265.279447630882,270.249314769465
100,2,10,TRUE,0.5,267.553348010122,273.766116067517
