,gamma,C,epsilon,train_rmse,valid_rmse
0,0.01,0.01,0.05,671.4294638845194,672.1661059127101
1,0.01,0.01,0.1,671.4294638845194,672.1661059127101
2,0.01,0.01,0.15,671.4294638845194,672.1661059127101
3,0.01,0.01,0.2,671.4266184622896,672.1646502589261
4,0.01,0.01,0.5,671.3508277219796,672.1009092487993
5,0.01,0.1,0.05,662.3064120293966,663.019370842868
6,0.01,0.1,0.1,662.3165851152014,663.025496592146
7,0.01,0.1,0.15,662.3170601905395,663.0258714995535
8,0.01,0.1,0.2,662.3170601905395,663.0258714995535
9,0.01,0.1,0.5,662.4044742376748,663.1007224904874
10,0.01,1.0,0.05,592.665915526335,593.7027000149762
11,0.01,1.0,0.1,592.665915526335,593.7027000149762
12,0.01,1.0,0.15,592.665915526335,593.7027000149762
13,0.01,1.0,0.2,592.6706386923281,593.7048660548201
14,0.01,1.0,0.5,592.6738480427472,593.7042508490407
15,0.01,10.0,0.05,461.99820185014096,464.1737335463893
16,0.01,10.0,0.1,462.00196424636164,464.18526410972356
17,0.01,10.0,0.15,462.0126813994417,464.1984794046047
18,0.01,10.0,0.2,462.0198926061369,464.207601071799
19,0.01,10.0,0.5,462.1346004498383,464.3000766660899
20,0.01,100.0,0.05,405.0605742508528,407.047231067347
21,0.01,100.0,0.1,405.0516557481554,407.0435132596354
22,0.01,100.0,0.15,405.0461671153635,407.0340328131101
23,0.01,100.0,0.2,405.0658205904605,407.057566441107
24,0.01,100.0,0.5,405.04765774167464,407.0430716070599
25,0.1,0.01,0.05,668.2861468180055,669.0409067760797
26,0.1,0.01,0.1,668.2700880449095,669.0235267845587
27,0.1,0.01,0.15,668.2688121762185,669.0215965416874
28,0.1,0.01,0.2,668.2688121762185,669.0215965416874
29,0.1,0.01,0.5,668.2053392901337,668.972681295428
30,0.1,0.1,0.05,632.6117817448629,633.5426933716993
31,0.1,0.1,0.1,632.6090329110796,633.5377263661832
32,0.1,0.1,0.15,632.6139935855764,633.5425952831009
33,0.1,0.1,0.2,632.6288796363383,633.5573434340023
34,0.1,0.1,0.5,632.7055757994337,633.6247091421786
35,0.1,1.0,0.05,474.51511071460726,476.15504793775017
36,0.1,1.0,0.1,474.51014020441113,476.14275380793595
37,0.1,1.0,0.15,474.5059602308419,476.1405084285998
38,0.1,1.0,0.2,474.49222698998756,476.1279275827277
39,0.1,1.0,0.5,474.4840688577539,476.1076682129107
40,0.1,10.0,0.05,366.4241240085895,367.401577932571
41,0.1,10.0,0.1,366.4228087957563,367.4087457178044
42,0.1,10.0,0.15,366.4246661890479,367.4059687138249
43,0.1,10.0,0.2,366.4259169223128,367.4071457932765
44,0.1,10.0,0.5,366.42304159244964,367.40229678851864
45,0.1,100.0,0.05,336.158200344409,337.9621254289848
46,0.1,100.0,0.1,336.1401577385867,337.9646621653554
47,0.1,100.0,0.15,336.1312837154306,337.9575613194829
48,0.1,100.0,0.2,336.1263991999132,337.94614280143674
49,0.1,100.0,0.5,336.0997786399736,337.91664575753794
50,0.2,0.01,0.05,668.6850880256234,669.4527383828861
51,0.2,0.01,0.1,668.6839945777136,669.4537211173142
52,0.2,0.01,0.15,668.6839945777136,669.4537211173142
53,0.2,0.01,0.2,668.6839945777136,669.4537211173142
54,0.2,0.01,0.5,668.6579457321038,669.4262328991862
55,0.2,0.1,0.05,635.8079182385815,636.8477358686611
56,0.2,0.1,0.1,635.8024591680911,636.8413403937403
57,0.2,0.1,0.15,635.7864730812537,636.8358425042001
58,0.2,0.1,0.2,635.7708770103759,636.8208710568224
59,0.2,0.1,0.5,635.7585077159293,636.7944024331531
60,0.2,1.0,0.05,473.1365959902039,475.11364391625676
61,0.2,1.0,0.1,473.13981155127294,475.1160509703539
62,0.2,1.0,0.15,473.13845535825783,475.11743633890455
63,0.2,1.0,0.2,473.1428798105236,475.1152121397449
64,0.2,1.0,0.5,473.11043638525683,475.06789622547257
65,0.2,10.0,0.05,349.14053594757956,350.4932460630697
66,0.2,10.0,0.1,349.13648715883255,350.497745536076
67,0.2,10.0,0.15,349.13265471938655,350.49535649859433
68,0.2,10.0,0.2,349.13615496124964,350.48502854109495
69,0.2,10.0,0.5,349.1499405547377,350.4874791630867
70,0.2,100.0,0.05,318.0001181675726,320.4900961217236
71,0.2,100.0,0.1,317.99973125586337,320.4907075024709
72,0.2,100.0,0.15,317.99724972459813,320.4797737017643
73,0.2,100.0,0.2,317.99316116390185,320.47576296510465
74,0.2,100.0,0.5,317.9753638445125,320.4624343745704
75,0.5,0.01,0.05,670.2688323312789,671.0296128196677
76,0.5,0.01,0.1,670.2798338399043,671.0427111803551
77,0.5,0.01,0.15,670.2955860404368,671.0645495603244
78,0.5,0.01,0.2,670.29608325445,671.0664318771954
79,0.5,0.01,0.5,670.3156272340358,671.077791812011
80,0.5,0.1,0.05,650.772846761062,651.8260974029412
81,0.5,0.1,0.1,650.7723184285364,651.8248692050195
82,0.5,0.1,0.15,650.7630025533952,651.8175067787839
83,0.5,0.1,0.2,650.7452094119006,651.8007741690368
84,0.5,0.1,0.5,650.6964282698349,651.7517393455983
85,0.5,1.0,0.05,516.1178233493595,518.7139491717124
86,0.5,1.0,0.1,516.113072094609,518.7059914024553
87,0.5,1.0,0.15,516.1091023394945,518.6986135934984
88,0.5,1.0,0.2,516.102197129327,518.6962547507492
89,0.5,1.0,0.5,516.0960991961842,518.6847079415181
90,0.5,10.0,0.05,343.8116084001747,345.5385722067634
91,0.5,10.0,0.1,343.82224386068253,345.54389318572174
92,0.5,10.0,0.15,343.83293409805475,345.548168077384
93,0.5,10.0,0.2,343.84433251685834,345.55199790965355
94,0.5,10.0,0.5,343.88143580304467,345.58305707048027
95,0.5,100.0,0.05,295.4265646174279,300.10917903409745
96,0.5,100.0,0.1,295.423728975294,300.1085197932654
97,0.5,100.0,0.15,295.41463605981176,300.1129559067838
98,0.5,100.0,0.2,295.41306293878665,300.08572755262173
99,0.5,100.0,0.5,295.4016469601949,300.0795529694352
100,1.0,0.01,0.05,671.2416760485747,672.0102023865444
101,1.0,0.01,0.1,671.2578691108135,672.0172138425455
102,1.0,0.01,0.15,671.2739806482082,672.0370574565069
103,1.0,0.01,0.2,671.2873441606921,672.0550096192601
104,1.0,0.01,0.5,671.3485537400429,672.1162364180892
105,1.0,0.1,0.05,661.2286597051065,662.1820417651564
106,1.0,0.1,0.1,661.2286597051065,662.1820417651564
107,1.0,0.1,0.15,661.2286597051065,662.1820417651564
108,1.0,0.1,0.2,661.2152898902056,662.165661080378
109,1.0,0.1,0.5,661.1566524463357,662.1077185359131
110,1.0,1.0,0.05,573.25826027998,575.8989350451833
111,1.0,1.0,0.1,573.2439258651619,575.8888302719192
112,1.0,1.0,0.15,573.2370519897523,575.8819648268291
113,1.0,1.0,0.2,573.2344933503015,575.8788233216128
114,1.0,1.0,0.5,573.203361838113,575.8634822234596
115,1.0,10.0,0.05,357.72910523451293,361.1017278154804
116,1.0,10.0,0.1,357.7295460201276,361.0997153679408
117,1.0,10.0,0.15,357.7315535933902,361.1061872960468
118,1.0,10.0,0.2,357.736030979697,361.11089607546614
119,1.0,10.0,0.5,357.7511283380895,361.0982323660448
120,1.0,100.0,0.05,277.45796293973643,286.66360790373363
121,1.0,100.0,0.1,277.4652277175605,286.6610773026742
122,1.0,100.0,0.15,277.4665260201264,286.65762312889467
123,1.0,100.0,0.2,277.46537000541804,286.6473023892358
124,1.0,100.0,0.5,277.46206393677073,286.64933095105266
