,gamma,C,epsilon,train_rmse,valid_rmse
0,0.01,0.01,0.05,671.5549726851821,672.279488638002
1,0.01,0.01,0.1,671.5549726851821,672.279488638002
2,0.01,0.01,0.15,671.5549726851821,672.279488638002
3,0.01,0.01,0.2,671.5549726851821,672.279488638002
4,0.01,0.01,0.5,671.468276440558,672.1977186711389
5,0.01,0.1,0.05,663.4286411629605,663.9979758890694
6,0.01,0.1,0.1,663.4124422222744,663.9889014550985
7,0.01,0.1,0.15,663.3975893105821,663.978069176607
8,0.01,0.1,0.2,663.3975893105821,663.978069176607
9,0.01,0.1,0.5,663.4016029946524,663.9772048787556
10,0.01,1.0,0.05,594.5377310845873,595.2948236602834
11,0.01,1.0,0.1,594.5216225902025,595.2855690232891
12,0.01,1.0,0.15,594.5086232274539,595.2744516577618
13,0.01,1.0,0.2,594.5005008983727,595.2625015765167
14,0.01,1.0,0.5,594.4743537393728,595.2322748321889
15,0.01,10.0,0.05,447.5275177928855,451.22726537986824
16,0.01,10.0,0.1,447.52460056939117,451.2294098819605
17,0.01,10.0,0.15,447.5213180502156,451.2281113773237
18,0.01,10.0,0.2,447.5162094600674,451.21491743083095
19,0.01,10.0,0.5,447.5189363044189,451.2197841356631
20,0.01,100.0,0.05,363.5773855734977,368.4344512012407
21,0.01,100.0,0.1,363.5756158989436,368.43165697212606
22,0.01,100.0,0.15,363.5714999985912,368.434209385515
23,0.01,100.0,0.2,363.56450050606236,368.43372833525416
24,0.01,100.0,0.5,363.5464043398737,368.41899360779826
25,0.1,0.01,0.05,672.3250354007157,673.0815212926616
26,0.1,0.01,0.1,672.315782571824,673.0699342080383
27,0.1,0.01,0.15,672.2914959727791,673.0399575068043
28,0.1,0.01,0.2,672.2476670072822,673.0035620608612
29,0.1,0.01,0.5,672.0176864409805,672.7607126889395
30,0.1,0.1,0.05,669.1059721494566,669.931781798559
31,0.1,0.1,0.1,669.1146218697785,669.9417317245963
32,0.1,0.1,0.15,669.1314972997543,669.9448476718094
33,0.1,0.1,0.2,669.1505888391941,669.9527122505518
34,0.1,0.1,0.5,669.1559413578029,669.9542110438376
35,0.1,1.0,0.05,643.2392978942424,644.4707989142246
36,0.1,1.0,0.1,643.240861643967,644.4715521136911
37,0.1,1.0,0.15,643.2468253768383,644.4778674425797
38,0.1,1.0,0.2,643.2543626308354,644.4887731324125
39,0.1,1.0,0.5,643.305945903566,644.5337192747803
40,0.1,10.0,0.05,497.16292611881664,503.8390643748337
41,0.1,10.0,0.1,497.1632600253905,503.8359443766492
42,0.1,10.0,0.15,497.1632364255063,503.8367209169303
43,0.1,10.0,0.2,497.16264658749617,503.8366856768786
44,0.1,10.0,0.5,497.15839061203997,503.84296403075575
45,0.1,100.0,0.05,318.59267694116744,335.0246103454129
46,0.1,100.0,0.1,318.59114884205593,335.0253030885505
47,0.1,100.0,0.15,318.58898371138736,335.0280749931386
48,0.1,100.0,0.2,318.59267420398294,335.01702887846494
49,0.1,100.0,0.5,318.59442027407897,335.0064622361973
50,0.2,0.01,0.05,672.476349960166,673.2203463573604
51,0.2,0.01,0.1,672.476349960166,673.2206119769471
52,0.2,0.01,0.15,672.476349960166,673.2206119769471
53,0.2,0.01,0.2,672.476166408289,673.2206119769471
54,0.2,0.01,0.5,672.0549028560317,672.8041325385409
55,0.2,0.1,0.05,671.5014493270961,672.2990453222094
56,0.2,0.1,0.1,671.4910665213264,672.2893382641811
57,0.2,0.1,0.15,671.476470347177,672.2828729452718
58,0.2,0.1,0.2,671.4655617633833,672.2594932408006
59,0.2,0.1,0.5,671.3613950182021,672.1717016127305
60,0.2,1.0,0.05,661.8485177446423,663.2142523938348
61,0.2,1.0,0.1,661.8392375131851,663.2026946599245
62,0.2,1.0,0.15,661.8313543169439,663.1868822866088
63,0.2,1.0,0.2,661.8225401714029,663.1782107787799
64,0.2,1.0,0.5,661.8159574255458,663.1625852367059
65,0.2,10.0,0.05,577.5198783812377,585.1945489443154
66,0.2,10.0,0.1,577.5192606593613,585.1931072159322
67,0.2,10.0,0.15,577.5185962644277,585.1914812714681
68,0.2,10.0,0.2,577.5179664612521,585.1922565891019
69,0.2,10.0,0.5,577.5077139431694,585.1867664946003
70,0.2,100.0,0.05,341.409922781097,373.0008644700049
71,0.2,100.0,0.1,341.41087528350926,373.00127927889275
72,0.2,100.0,0.15,341.41057295367995,372.99404470774664
73,0.2,100.0,0.2,341.4092730716863,372.99796249492385
74,0.2,100.0,0.5,341.39329349985525,372.9870990134076
75,0.5,0.01,0.05,672.476349960166,673.2206119769471
76,0.5,0.01,0.1,672.476349960166,673.2206119769471
77,0.5,0.01,0.15,672.476349960166,673.2206119769471
78,0.5,0.01,0.2,672.476349960166,673.2206119769471
79,0.5,0.01,0.5,672.0399322397544,672.8304451071094
80,0.5,0.1,0.05,672.0777772013415,672.9152931510025
81,0.5,0.1,0.1,672.0596449148937,672.8883265917246
82,0.5,0.1,0.15,672.0374897760539,672.8585071943938
83,0.5,0.1,0.2,672.011101164847,672.8408464803947
84,0.5,0.1,0.5,671.9354792323066,672.7275135937086
85,0.5,1.0,0.05,667.6614192320341,669.1315707487826
86,0.5,1.0,0.1,667.6646020050579,669.1383759270104
87,0.5,1.0,0.15,667.667149399926,669.1349795063664
88,0.5,1.0,0.2,667.6750673497464,669.1438481650233
89,0.5,1.0,0.5,667.7047977986451,669.1867318279211
90,0.5,10.0,0.05,629.0030914170524,636.6843169635507
91,0.5,10.0,0.1,629.0030817122852,636.687898444257
92,0.5,10.0,0.15,629.0038751080185,636.6870698053511
93,0.5,10.0,0.2,629.0061003918081,636.6881399644084
94,0.5,10.0,0.5,629.0086618026814,636.690231475288
95,0.5,100.0,0.05,402.9074355447547,452.2293470923704
96,0.5,100.0,0.1,402.9087804128326,452.22871820580986
97,0.5,100.0,0.15,402.9078857366462,452.23083973043833
98,0.5,100.0,0.2,402.9061388791094,452.22999490771235
99,0.5,100.0,0.5,402.90269984188035,452.21567614936953
100,1.0,0.01,0.05,672.476349960166,673.2206119769471
101,1.0,0.01,0.1,672.476349960166,673.2206119769471
102,1.0,0.01,0.15,672.476349960166,673.2206119769471
103,1.0,0.01,0.2,672.476349960166,673.2206119769471
104,1.0,0.01,0.5,672.0321710609243,672.8940562278619
105,1.0,0.1,0.05,672.3563023461461,673.1632837542465
106,1.0,0.1,0.1,672.3502536948808,673.1617026163716
107,1.0,0.1,0.15,672.333161206201,673.1610474580643
108,1.0,0.1,0.2,672.3041430703806,673.1424611378216
109,1.0,0.1,0.5,672.0295417100568,672.8918925420538
110,1.0,1.0,0.05,669.8616324492369,671.3321455990679
111,1.0,1.0,0.1,669.8578802054797,671.326603353631
112,1.0,1.0,0.15,669.8538278059536,671.3267346489391
113,1.0,1.0,0.2,669.849942729367,671.3233880274237
114,1.0,1.0,0.5,669.7705489459014,671.2591812375366
115,1.0,10.0,0.05,646.1001504962078,654.146091532962
116,1.0,10.0,0.1,646.1004371251714,654.1460542118739
117,1.0,10.0,0.15,646.1022453632655,654.1460391865002
118,1.0,10.0,0.2,646.1036497903381,654.1458186527489
119,1.0,10.0,0.5,646.1191630707668,654.1545987467406
120,1.0,100.0,0.05,464.4737588724986,524.7140067118171
121,1.0,100.0,0.1,464.47416065614976,524.7130846276417
122,1.0,100.0,0.15,464.4740814600795,524.7116978728328
123,1.0,100.0,0.2,464.47486061910615,524.7115468099961
124,1.0,100.0,0.5,464.46564478239924,524.7098397969189
