,gamma,C,epsilon,train_rmse,valid_rmse
0,0.01,0.01,0.05,671.6456261704947,672.37959345285
1,0.01,0.01,0.1,671.6456261704947,672.37959345285
2,0.01,0.01,0.15,671.6456261704947,672.37959345285
3,0.01,0.01,0.2,671.6456261704947,672.37959345285
4,0.01,0.01,0.5,671.6285425439153,672.3658491699246
5,0.01,0.1,0.05,664.489424191876,665.1645464176768
6,0.01,0.1,0.1,664.489424191876,665.1645464176768
7,0.01,0.1,0.15,664.5014660262523,665.1707262931159
8,0.01,0.1,0.2,664.5161619606382,665.1809209363113
9,0.01,0.1,0.5,664.5251915022583,665.1838404039588
10,0.01,1.0,0.05,605.6383155844319,606.5236028270483
11,0.01,1.0,0.1,605.6287561409094,606.5180151707748
12,0.01,1.0,0.15,605.6220276965385,606.511853477218
13,0.01,1.0,0.2,605.6208071672291,606.5037961856227
14,0.01,1.0,0.5,605.6500977519354,606.5343995240177
15,0.01,10.0,0.05,477.6383874916719,482.2506597146143
16,0.01,10.0,0.1,477.6249619201732,482.2417346917451
17,0.01,10.0,0.15,477.62306524374446,482.2452856543312
18,0.01,10.0,0.2,477.63541400419217,482.2526965033144
19,0.01,10.0,0.5,477.58815439623004,482.20266711727743
20,0.01,100.0,0.05,452.94317688211765,450.9377856127625
21,0.01,100.0,0.1,452.9104848045773,450.88857736105206
22,0.01,100.0,0.15,452.80249020118316,450.7788011697314
23,0.01,100.0,0.2,452.80922445658376,450.78304167949926
24,0.01,100.0,0.5,452.80739278544723,450.7523352391263
25,0.1,0.01,0.05,666.7325247450268,667.4528262027868
26,0.1,0.01,0.1,666.7302592681326,667.4495542130134
27,0.1,0.01,0.15,666.7181626826492,667.4295005745245
28,0.1,0.01,0.2,666.7181626826492,667.4295005745245
29,0.1,0.01,0.5,666.713149217223,667.4237069250919
30,0.1,0.1,0.05,621.7203165839718,622.5014152981444
31,0.1,0.1,0.1,621.7357632333337,622.5238090503012
32,0.1,0.1,0.15,621.7460276345482,622.5377212113401
33,0.1,0.1,0.2,621.7518697245274,622.5429970150898
34,0.1,0.1,0.5,621.6876623740583,622.4742486517998
35,0.1,1.0,0.05,504.0694863712089,509.6925055579495
36,0.1,1.0,0.1,504.1813243591704,509.80896679563983
37,0.1,1.0,0.15,504.0714392379306,509.7106052241764
38,0.1,1.0,0.2,504.07256735826445,509.69756409899236
39,0.1,1.0,0.5,503.9917445862254,509.59627796786975
40,0.1,10.0,0.05,1058.86280987424,1083.5885611905146
41,0.1,10.0,0.1,1062.907955275965,1088.682315704441
42,0.1,10.0,0.15,1063.4718358507164,1089.1187786527007
43,0.1,10.0,0.2,1058.5782310505738,1083.2866738565704
44,0.1,10.0,0.5,1058.6266647933292,1083.6834608747583
45,0.1,100.0,0.05,12026.53623406514,12193.701104161459
46,0.1,100.0,0.1,12025.502982050344,12191.087603449407
47,0.1,100.0,0.15,12045.88308339902,12211.795532001386
48,0.1,100.0,0.2,12037.558176239947,12202.936893505863
49,0.1,100.0,0.5,12056.452281587732,12170.66062702793
50,0.2,0.01,0.05,664.9535462315762,665.6116000761948
51,0.2,0.01,0.1,664.934474276718,665.6084157329167
52,0.2,0.01,0.15,664.9164007912755,665.5966175725603
53,0.2,0.01,0.2,664.911978471789,665.593533191812
54,0.2,0.01,0.5,664.8268412697258,665.5274315959648
55,0.2,0.1,0.05,608.2360015762347,609.2418909382911
56,0.2,0.1,0.1,608.2480483181679,609.2559887768807
57,0.2,0.1,0.15,608.26108575039,609.266590303134
58,0.2,0.1,0.2,608.2783867982533,609.2746948405019
59,0.2,0.1,0.5,608.3602626180557,609.3322701715509
60,0.2,1.0,0.05,500.9874891113308,509.8217140224376
61,0.2,1.0,0.1,500.989747053695,509.82715001416534
62,0.2,1.0,0.15,501.08043706355255,509.91561650369533
63,0.2,1.0,0.2,501.085838554127,509.92239950735694
64,0.2,1.0,0.5,501.09386418731697,509.9354889757438
65,0.2,10.0,0.05,2503.4991259500116,2546.83158625093
66,0.2,10.0,0.1,2487.234110551577,2523.7104931308722
67,0.2,10.0,0.15,2484.556239067569,2518.9712400965864
68,0.2,10.0,0.2,2490.0744839834883,2528.2551326661805
69,0.2,10.0,0.5,2484.5811162312707,2519.0057719791803
70,0.2,100.0,0.05,26308.9528327288,26732.686253507556
71,0.2,100.0,0.1,26380.9548383633,26863.68108283428
72,0.2,100.0,0.15,26409.75439687905,26811.767681216075
73,0.2,100.0,0.2,26409.747622135284,26811.767902822554
74,0.2,100.0,0.5,26427.487775079004,26820.454507139926
75,0.5,0.01,0.05,663.7379919275501,664.4152644447147
76,0.5,0.01,0.1,663.7348990165476,664.4114716633582
77,0.5,0.01,0.15,663.7234754855184,664.405950426836
78,0.5,0.01,0.2,663.7115258419404,664.402877698064
79,0.5,0.01,0.5,663.6237939347322,664.3120609078212
80,0.5,0.1,0.05,600.8194883283144,602.1273863119507
81,0.5,0.1,0.1,600.8375956899521,602.1429360284852
82,0.5,0.1,0.15,600.8417148396259,602.1386277899202
83,0.5,0.1,0.2,600.8511301024786,602.1445067218247
84,0.5,0.1,0.5,600.9187945583005,602.2088494988358
85,0.5,1.0,0.05,510.60856024126747,519.6641365712094
86,0.5,1.0,0.1,510.6043849770825,519.6597253818055
87,0.5,1.0,0.15,510.77007803680743,519.825836035268
88,0.5,1.0,0.2,511.3496447366989,520.4458639217952
89,0.5,1.0,0.5,510.77635177096874,519.8991006201283
90,0.5,10.0,0.05,3781.215898365121,3795.972263029163
91,0.5,10.0,0.1,3781.210289996388,3795.9743571615813
92,0.5,10.0,0.15,3781.208057175715,3795.987238489467
93,0.5,10.0,0.2,3781.214845976322,3795.9776343361755
94,0.5,10.0,0.5,3781.2000873430684,3795.945886817931
95,0.5,100.0,0.05,29739.206809877636,30375.484991986792
96,0.5,100.0,0.1,29739.204958467817,30375.479619188754
97,0.5,100.0,0.15,29751.446324238048,30379.481923961346
98,0.5,100.0,0.2,29605.688596416,29961.960456776575
99,0.5,100.0,0.5,29560.3360588395,29986.992461020895
100,1.0,0.01,0.05,663.517715065068,664.2014968429161
101,1.0,0.01,0.1,663.517715065068,664.2014968429161
102,1.0,0.01,0.15,663.5025231483264,664.1837691967684
103,1.0,0.01,0.2,663.4859541724876,664.1786704477512
104,1.0,0.01,0.5,663.505818111275,664.1885194331961
105,1.0,0.1,0.05,599.9692368309323,601.3649154819444
106,1.0,0.1,0.1,599.9692368309323,601.3649154819444
107,1.0,0.1,0.15,599.9705189364169,601.3648247983547
108,1.0,0.1,0.2,599.9827389039768,601.3717710162904
109,1.0,0.1,0.5,599.9510513303477,601.3509479390474
110,1.0,1.0,0.05,538.5209015221681,550.6801720333142
111,1.0,1.0,0.1,538.4879322795621,550.4896166222189
112,1.0,1.0,0.15,538.494790401614,550.4953905491425
113,1.0,1.0,0.2,538.5019726096821,550.5063565239192
114,1.0,1.0,0.5,538.5874720403788,550.5715926474147
115,1.0,10.0,0.05,3342.545189508079,3365.218862197267
116,1.0,10.0,0.1,3342.158934732679,3365.5294399108716
117,1.0,10.0,0.15,3329.8751583683575,3363.693117499387
118,1.0,10.0,0.2,3342.159149164134,3365.5136990458736
119,1.0,10.0,0.5,3347.91458912615,3372.7730247301693
120,1.0,100.0,0.05,41469.15096612321,41645.69764972611
121,1.0,100.0,0.1,41469.146213273314,41645.699051798845
122,1.0,100.0,0.15,41469.14209491385,41645.705079166335
123,1.0,100.0,0.2,41469.14181059089,41645.69145753139
124,1.0,100.0,0.5,41469.12617409219,41645.66788891445
